MOENumber,SchoolType,SchoolName
1095,Contributing,Tui Seahorse Primary School
1096,Full Primary,Whale Stingray Primary School
1097,Contributing,Tidal Whale Primary School
1098,Full Primary,Seastar Kakariki Primary School
1100,Full Primary,Tui Fantail Primary School
1104,Full Primary,Seastar Orca Primary School
1105,Full Primary,Koru Mussel Primary School
1106,Full Primary,Nikau Turtle Primary School
1107,Full Primary,Sunny Turtle Primary School
1109,Full Primary,Rimu Penguin Primary School
1110,Full Primary,Cove Penguin Primary School
1111,Full Primary,Rising Sealion Primary School
1112,Full Primary,Tidal Weka Primary School
1113,Contributing,Seashell Flounder Primary School
1114,Full Primary,Rockpool Flounder Primary School
1115,Full Primary,Dolphin Gannet Primary School
1116,Contributing,Current Nautilus Primary School
1119,Contributing,Dolphin Pipit Primary School
1120,Full Primary,Rimu Limpet Primary School
1122,Full Primary,Island Crab Primary School
1124,Contributing,Moana Eel Primary School
1125,Contributing,Pebble Whale Primary School
1126,Full Primary,Kauri Heron Primary School
1127,Full Primary,Rangitahi Kingfisher Primary School
1128,Full Primary,Rangitahi Coral Primary School
1129,Intermediate,Kelp Tuna Intermediate School
1130,Contributing,Tui Seal Primary School
1131,Contributing,Shore Kakapo Primary School
1138,Composite,Hidden Korora Area School
1139,Composite,Ocean Eel Area School
1142,Full Primary,Marina Tuna Primary School
1143,Composite,Deepwater Whale Area School
1147,Composite,Seahorse Korora Area School
1148,Full Primary,Aqua Sealion Primary School
1149,Composite,Current Shellfish Area School
1151,Full Primary,Cove Kakariki Primary School
1153,Composite,Snapper Kereru Area School
1154,Composite,Koru Shrimp Area School
1156,Composite,Koru Kina Area School
1164,Contributing,Western Eel Primary School
1165,Composite,Eastern Piwakawaka Area School
1167,Contributing,Harbour Shrimp Primary School
1168,Composite (Year 1-10),Lagoon Albatross Area School
1169,Full Primary,Current Mussel Primary School
1170,Full Primary,Ocean Octopus Primary School
1172,Composite,Saltwater Shark Area School
1175,Composite,Saltwater Seahorse Area School
1177,Contributing,Harakeke Wrasse Primary School
1178,Full Primary,Mussel Fantail Primary School
1179,Full Primary,Tidal Ruru Primary School
1184,Full Primary,Cove Starfish Primary School
1185,Full Primary,Manuka Seaweed Primary School
1186,Composite,Wai Prawn Area School
1187,Full Primary,Mangrove Barracuda Primary School
1189,Composite,Totara Kahawai Area School
1190,Composite,Estuary Cockle Area School
1192,Full Primary,Tui Kahawai Primary School
1194,Contributing,Anchor Albatross Primary School
1195,Full Primary,Tui Flounder Primary School
1200,Full Primary,Kina Seahorse Primary School
1201,Full Primary,Ocean Flounder Primary School
1202,Contributing,Estuary Weka Primary School
1203,Full Primary,Coastal Wrasse Primary School
1204,Contributing,Coral Kelp Primary School
1206,Contributing,Wave Turtle Primary School
1207,Full Primary,Seashell Skink Primary School
1208,Full Primary,Ocean Moki Primary School
1209,Specialist School,Silver Marlin Specialist School
1210,Specialist School,Dolphin Dotterel Specialist School
1211,Intermediate,Estuary Kakariki Intermediate School
1212,Intermediate,Driftwood Sponge Intermediate School
1213,Contributing,Rockpool Petrel Primary School
1214,Full Primary,Pohutukawa Stingray Primary School
1215,Intermediate,Bay Mussel Intermediate School
1216,Full Primary,Anchor Orca Primary School
1217,Intermediate,Seahorse Shrimp Intermediate School
1218,Contributing,Rangitahi Kelp Primary School
1219,Full Primary,Deepwater Heron Primary School
1220,Contributing,Aqua Fantail Primary School
1221,Contributing,Kowhai Oystercatcher Primary School
1222,Contributing,Koru Piwakawaka Primary School
1223,Contributing,Marina Eel Primary School
1224,Full Primary,Dolphin Tuna Primary School
1225,Intermediate,Golden Orca Intermediate School
1226,Contributing,Aqua Bluefish Primary School
1227,Full Primary,Deepwater Jellyfish Primary School
1228,Intermediate,Blue Fantail Intermediate School
1229,Contributing,Rangitahi Tui Primary School
1230,Contributing,Cove Bluefish Primary School
1231,Contributing,Turtle Kereru Primary School
1232,Intermediate,Pebble Stingray Intermediate School
1233,Contributing,Silver Shellfish Primary School
1234,Full Primary,Kina Oystercatcher Primary School
1235,Contributing,Southern Flounder Primary School
1236,Full Primary,Mangrove Kakariki Primary School
1237,Contributing,Deepwater Wrasse Primary School
1238,Intermediate,Snapper Paua Intermediate School
1239,Full Primary,Harbour Fantail Primary School
1240,Intermediate,Anchor Shellfish Intermediate School
1241,Contributing,Snapper Weka Primary School
1242,Contributing,Dolphin Eel Primary School
1243,Contributing,Harbour Piper Primary School
1244,Contributing,Marina Pipit Primary School
1245,Full Primary,Bright Coral Primary School
1246,Full Primary,Coastal Gannet Primary School
1247,Full Primary,Tidal Kakapo Primary School
1248,Contributing,Aqua Octopus Primary School
1249,Full Primary,Bay Crab Primary School
1251,Contributing,Driftwood Gannet Primary School
1252,Contributing,Eastern Trevally Primary School
1253,Contributing,Deepwater Rockpool Primary School
1254,Full Primary,Kelp Pufferfish Primary School
1255,Full Primary,Island Whale Primary School
1256,Contributing,Marina Crab Primary School
1257,Contributing,Totara Kelp Primary School
1258,Contributing,Manuka Moana Primary School
1259,Contributing,Tern Cockle Primary School
1260,Contributing,Pohutukawa Kina Primary School
1261,Contributing,Island Fantail Primary School
1262,Full Primary,Tui Pufferfish Primary School
1263,Full Primary,Seagrass Manta Primary School
1264,Contributing,Rangitahi Barracuda Primary School
1265,Contributing,Hidden Coral Primary School
1266,Contributing,Southern Wrasse Primary School
1267,Full Primary,Pacific Kina Primary School
1268,Full Primary,Sunny Kakariki Primary School
1269,Contributing,Mussel Seahorse Primary School
1270,Contributing,Rising Crab Primary School
1271,Contributing,Golden Skink Primary School
1272,Intermediate,Sandy Nautilus Intermediate School
1273,Contributing,Harbour Moki Primary School
1274,Intermediate,Current Snapper Intermediate School
1275,Full Primary,Seastar Hoiho Primary School
1276,Contributing,Seabreeze Turtle Primary School
1277,Contributing,Pacific Turtle Primary School
1278,Contributing,Korora Oystercatcher Primary School
1279,Contributing,Shell Koura Primary School
1280,Contributing,Saltwater Tern Primary School
1281,Contributing,Current Manta Primary School
1282,Contributing,Ocean Anemone Primary School
1283,Contributing,Nikau Heron Primary School
1284,Intermediate,Driftwood Wrasse Intermediate School
1285,Contributing,Golden Oystercatcher Primary School
1287,Full Primary,Nikau Wrasse Primary School
1289,Full Primary,Pohutukawa Limpet Primary School
1290,Full Primary,Rockpool Piwakawaka Primary School
1291,Full Primary,Wai Snapper Primary School
1292,Full Primary,Pacific Shark Primary School
1293,Contributing,Tern Wrasse Primary School
1294,Full Primary,Rising Orca Primary School
1295,Intermediate,Seastar Shellfish Intermediate School
1296,Contributing,Pacific Hoiho Primary School
1297,Contributing,Pebble Sealion Primary School
1298,Full Primary,Seagrass Turtle Primary School
1299,Contributing,Pounamu Weka Primary School
1300,Intermediate,Golden Ruru Intermediate School
1301,Contributing,Rangitahi Snapper Primary School
1302,Contributing,Kina Coral Primary School
1303,Contributing,Sunny Shark Primary School
1304,Contributing,Marina Starfish Primary School
1305,Contributing,Eastern Kakariki Primary School
1306,Full Primary,Shore Piwakawaka Primary School
1307,Intermediate,Manuka Cockle Intermediate School
1308,Contributing,Pohutukawa Orca Primary School
1309,Contributing,Rimu Crab Primary School
1310,Contributing,Kina Turtle Primary School
1311,Contributing,Sandy Seaweed Primary School
1312,Contributing,Pounamu Flounder Primary School
1313,Contributing,Tidal Cockle Primary School
1314,Full Primary,Cove Moana Primary School
1315,Full Primary,Seabreeze Hoiho Primary School
1316,Full Primary,Aqua Weka Primary School
1317,Contributing,Kelp Hoiho Primary School
1318,Intermediate,Whale Kingfisher Intermediate School
1319,Contributing,Cove Cockle Primary School
1320,Full Primary,Shell Sponge Primary School
1321,Full Primary,Nikau Kelp Primary School
1322,Contributing,Coral Piper Primary School
1323,Full Primary,Western Kakariki Primary School
1324,Contributing,Tidal Kereru Primary School
1325,Full Primary,Harakeke Barracuda Primary School
1326,Full Primary,Wai Paua Primary School
1327,Contributing,Koru Tui Primary School
1328,Contributing,Mussel Tuna Primary School
1329,Intermediate,Sandy Dolphin Intermediate School
1330,Intermediate,Rimu Kelp Intermediate School
1331,Contributing,Blue Cockle Primary School
1332,Contributing,Tui Sealion Primary School
1333,Contributing,Current Anemone Primary School
1334,Full Primary,Ocean Ruru Primary School
1335,Contributing,Wai Moki Primary School
1336,Full Primary,Driftwood Manta Primary School
1337,Intermediate,Seashell Dolphin Intermediate School
1338,Contributing,Western Limpet Primary School
1339,Contributing,Marina Pufferfish Primary School
1340,Contributing,Saltwater Penguin Primary School
1341,Full Primary,Saltwater Marlin Primary School
1342,Contributing,Sandy Crab Primary School
1343,Contributing,Seashell Moki Primary School
1344,Full Primary,Bright Oystercatcher Primary School
1345,Full Primary,Lagoon Gannet Primary School
1346,Contributing,Kauri Moana Primary School
1347,Full Primary,Northern Kakapo Primary School
1348,Full Primary,Estuary Albatross Primary School
1350,Contributing,Harakeke Kelp Primary School
1351,Intermediate,Penguin Bluefish Intermediate School
1352,Contributing,Hidden Scallop Primary School
1353,Intermediate,Kauri Prawn Intermediate School
1354,Contributing,Reef Bluefish Primary School
1355,Contributing,Aqua Shark Primary School
1356,Contributing,Coral Flounder Primary School
1357,Full Primary,Nikau Octopus Primary School
1358,Full Primary,Eastern Octopus Primary School
1359,Contributing,Driftwood Hoiho Primary School
1360,Contributing,Rising Prawn Primary School
1361,Contributing,Western Mussel Primary School
1362,Contributing,Paua Rockpool Primary School
1363,Full Primary,Seahorse Penguin Primary School
1364,Contributing,Silver Korora Primary School
1365,Contributing,Dolphin Petrel Primary School
1366,Contributing,Seashell Jellyfish Primary School
1367,Contributing,Tern Gannet Primary School
1368,Contributing,Paua Petrel Primary School
1369,Contributing,Anchor Eel Primary School
1370,Contributing,Shell Oystercatcher Primary School
1371,Contributing,Misty Fantail Primary School
1372,Full Primary,Koru Hoiho Primary School
1373,Full Primary,Bay Ruru Primary School
1375,Contributing,Rangitahi Kereru Primary School
1376,Contributing,Turtle Starfish Primary School
1378,Contributing,Harakeke Nautilus Primary School
1379,Specialist School,Eastern Dotterel Specialist School
1380,Contributing,Harbour Swordfish Primary School
1381,Contributing,Harbour Piwakawaka Primary School
1382,Contributing,Misty Swordfish Primary School
1383,Intermediate,Reef Skink Intermediate School
1384,Contributing,Mussel Dotterel Primary School
1385,Full Primary,Pebble Albatross Primary School
1386,Intermediate,Golden Flounder Intermediate School
1387,Contributing,Seabreeze Eel Primary School
1388,Contributing,Lagoon Barracuda Primary School
1389,Contributing,Island Kingfisher Primary School
1390,Contributing,Whale Pipit Primary School
1391,Contributing,Seagrass Eel Primary School
1392,Contributing,Aqua Kereru Primary School
1393,Contributing,Seabreeze Tui Primary School
1394,Intermediate,Whale Piwakawaka Intermediate School
1395,Contributing,Dolphin Piper Primary School
1396,Intermediate,Eastern Anemone Intermediate School
1397,Specialist School,Nikau Dolphin Specialist School
1398,Full Primary,Wai Whale Primary School
1399,Contributing,Current Albatross Primary School
1400,Contributing,Kina Kea Primary School
1401,Full Primary,Southern Shellfish Primary School
1402,Full Primary,Saltwater Kelp Primary School
1403,Contributing,Rangitahi Pipit Primary School
1404,Contributing,Turtle Sealion Primary School
1405,Full Primary,Lagoon Tui Primary School
1406,Contributing,Rockpool Octopus Primary School
1407,Contributing,Paua Orca Primary School
1408,Intermediate,Kowhai Snapper Intermediate School
1409,Contributing,Penguin Moki Primary School
1410,Full Primary,Korora Flounder Primary School
1411,Contributing,Harakeke Eel Primary School
1412,Contributing,Koru Marlin Primary School
1413,Contributing,Saltwater Eel Primary School
1414,Full Primary,Rising Kakariki Primary School
1416,Contributing,Reef Prawn Primary School
1417,Intermediate,Shell Whale Intermediate School
1418,Full Primary,Koru Pipit Primary School
1419,Full Primary,Lagoon Shark Primary School
1420,Full Primary,Ocean Rockpool Primary School
1421,Contributing,Manuka Orca Primary School
1422,Intermediate,Southern Whale Intermediate School
1423,Full Primary,Totara Fantail Primary School
1424,Full Primary,Silver Kelp Primary School
1425,Full Primary,Totara Shark Primary School
1426,Contributing,Island Kereru Primary School
1427,Contributing,Northern Skink Primary School
1428,Intermediate,Kina Sealion Intermediate School
1429,Contributing,Wave Fantail Primary School
1430,Contributing,Nikau Piper Primary School
1431,Contributing,Ocean Marlin Primary School
1432,Full Primary,Snapper Wrasse Primary School
1433,Contributing,Seabreeze Stingray Primary School
1434,Contributing,Pebble Prawn Primary School
1435,Specialist School,Sandy Snapper Specialist School
1436,Full Primary,Rimu Coral Primary School
1437,Intermediate,Southern Barracuda Intermediate School
1438,Contributing,Mangrove Hapuku Primary School
1439,Contributing,Estuary Tuna Primary School
1440,Contributing,Pohutukawa Sponge Primary School
1441,Full Primary,Snapper Whale Primary School
1442,Full Primary,Clearwater Piper Primary School
1444,Contributing,Nikau Crab Primary School
1445,Intermediate,Moana Sealion Intermediate School
1446,Contributing,Estuary Barracuda Primary School
1447,Contributing,Kina Prawn Primary School
1448,Contributing,Penguin Shrimp Primary School
1449,Contributing,Estuary Marlin Primary School
1450,Contributing,Manuka Piwakawaka Primary School
1451,Contributing,Pacific Kereru Primary School
1452,Intermediate,Koru Tern Intermediate School
1453,Full Primary,Harbour Kelp Primary School
1454,Full Primary,Driftwood Coral Primary School
1455,Contributing,Manuka Ruru Primary School
1456,Full Primary,Estuary Fantail Primary School
1457,Intermediate,Seabreeze Piper Intermediate School
1458,Contributing,Western Shrimp Primary School
1459,Full Primary,Island Penguin Primary School
1460,Full Primary,Foam Starfish Primary School
1461,Intermediate,Rockpool Oystercatcher Intermediate School
1462,Contributing,Paua Kahawai Primary School
1463,Contributing,Mussel Shrimp Primary School
1464,Full Primary,Estuary Kereru Primary School
1465,Contributing,Rockpool Kina Primary School
1466,Contributing,Golden Limpet Primary School
1467,Full Primary,Penguin Hoiho Primary School
1468,Contributing,Seashell Marlin Primary School
1470,Contributing,Pebble Coral Primary School
1471,Contributing,Mangrove Petrel Primary School
1472,Specialist School,Aqua Sponge Specialist School
1473,Intermediate,Tidal Hoiho Intermediate School
1474,Contributing,Eastern Moana Primary School
1475,Contributing,Estuary Dotterel Primary School
1476,Full Primary,Harbour Barracuda Primary School
1477,Full Primary,Mangrove Anemone Primary School
1478,Contributing,Blue Mussel Primary School
1479,Full Primary,Tui Moki Primary School
1480,Contributing,Wave Anemone Primary School
1481,Contributing,Lagoon Koura Primary School
1482,Contributing,Seagrass Scallop Primary School
1483,Specialist School,Bay Turtle Specialist School
1484,Specialist School,Aqua Ruru Specialist School
1486,Full Primary,Foam Petrel Primary School
1487,Contributing,Shell Korora Primary School
1488,Contributing,Sunny Whale Primary School
1489,Full Primary,Dolphin Shellfish Primary School
1490,Contributing,Shore Oystercatcher Primary School
1491,Full Primary,Misty Kahawai Primary School
1492,Contributing,Kowhai Weka Primary School
1493,Full Primary,Seabreeze Whale Primary School
1494,Full Primary,Rockpool Kingfisher Primary School
1495,Contributing,Nikau Prawn Primary School
1496,Full Primary,Coral Turtle Primary School
1497,Contributing,Mussel Jellyfish Primary School
1498,Contributing,Blue Swordfish Primary School
1499,Contributing,Manuka Petrel Primary School
1500,Contributing,Misty Tern Primary School
1501,Contributing,Paua Tern Primary School
1502,Contributing,Tern Kina Primary School
1503,Full Primary,Tern Scallop Primary School
1504,Contributing,Deepwater Octopus Primary School
1505,Contributing,Tidal Stingray Primary School
1506,Contributing,Misty Crab Primary School
1507,Full Primary,Tern Weka Primary School
1508,Full Primary,Penguin Moana Primary School
1509,Full Primary,Dolphin Starfish Primary School
1510,Full Primary,Western Kea Primary School
1511,Full Primary,Estuary Tarakihi Primary School
1512,Contributing,Coastal Kingfisher Primary School
1513,Contributing,Shell Flounder Primary School
1514,Contributing,Seagrass Hapuku Primary School
1515,Contributing,Current Kelp Primary School
1516,Contributing,Southern Moki Primary School
1518,Contributing,Coastal Octopus Primary School
1519,Contributing,Tui Ruru Primary School
1520,Full Primary,Driftwood Kea Primary School
1521,Full Primary,Sandy Swordfish Primary School
1522,Full Primary,Seabreeze Anemone Primary School
1523,Full Primary,Seashell Weka Primary School
1524,Intermediate,Rimu Barracuda Intermediate School
1525,Contributing,Kelp Seal Primary School
1526,Full Primary,Shell Pufferfish Primary School
1528,Contributing,Wave Hoiho Primary School
1529,Full Primary,Misty Shellfish Primary School
1530,Intermediate,Wai Hoiho Intermediate School
1531,Contributing,Deepwater Trevally Primary School
1532,Full Primary,Shell Gannet Primary School
1533,Contributing,Bay Seal Primary School
1534,Contributing,Wai Marlin Primary School
1535,Contributing,Moana Scallop Primary School
1536,Contributing,Northern Pufferfish Primary School
1537,Contributing,Rising Bluefish Primary School
1538,Contributing,Seastar Albatross Primary School
1539,Contributing,Seashell Kahawai Primary School
1540,Contributing,Anchor Marlin Primary School
1541,Contributing,Pohutukawa Koura Primary School
1543,Contributing,Penguin Piper Primary School
1544,Contributing,Wai Heron Primary School
1545,Full Primary,Seastar Heron Primary School
1546,Full Primary,Silver Whale Primary School
1547,Full Primary,Harakeke Seahorse Primary School
1548,Intermediate,Seagrass Nautilus Intermediate School
1549,Contributing,Island Stingray Primary School
1550,Full Primary,Reef Kingfisher Primary School
1552,Full Primary,Mangrove Nautilus Primary School
1553,Full Primary,Pounamu Marlin Primary School
1554,Full Primary,Turtle Crab Primary School
1555,Intermediate,Golden Pipit Intermediate School
1556,Specialist School,Korora Kereru Specialist School
1557,Full Primary,Rockpool Seahorse Primary School
1558,Full Primary,Hidden Dolphin Primary School
1559,Full Primary,Nikau Swordfish Primary School
1560,Contributing,Rising Pufferfish Primary School
1561,Contributing,Totara Starfish Primary School
1562,Contributing,Anchor Kakariki Primary School
1563,Contributing,Kina Albatross Primary School
1564,Intermediate,Tidal Wrasse Intermediate School
1565,Contributing,Wai Weka Primary School
1566,Full Primary,Cove Tern Primary School
1567,Contributing,Wai Wrasse Primary School
1568,Contributing,Penguin Ruru Primary School
1569,Intermediate,Kina Ruru Intermediate School
1570,Contributing,Cove Korora Primary School
1571,Contributing,Seahorse Nautilus Primary School
1572,Full Primary,Wave Wrasse Primary School
1573,Contributing,Hidden Anemone Primary School
1574,Specialist School,Western Moana Specialist School
1575,Contributing,Clearwater Seal Primary School
1576,Full Primary,Southern Albatross Primary School
1577,Full Primary,Rising Moana Primary School
1578,Contributing,Pebble Kelp Primary School
1579,Contributing,Nikau Kakapo Primary School
1580,Contributing,Mangrove Oystercatcher Primary School
1581,Contributing,Clearwater Barracuda Primary School
1582,Full Primary,Seahorse Stingray Primary School
1584,Composite,Wai Coral Area School
1585,Composite,Deepwater Tern Area School
1587,Composite,Marina Limpet Area School
1588,Contributing,Rangitahi Tarakihi Primary School
1589,Full Primary,Seahorse Kelp Primary School
1592,Full Primary,Island Turtle Primary School
1593,Full Primary,Rising Gannet Primary School
1594,Contributing,Northern Hoiho Primary School
1595,Composite,Manuka Kakapo Area School
1606,Secondary (Year 9-15),Foam Wrasse College
1607,Full Primary,Tern Orca Primary School
1608,Full Primary,Estuary Octopus Primary School
1611,Composite (Year 1-10),Golden Tarakihi Area School
1613,Full Primary,Marina Nautilus Primary School
1616,Composite,Island Rockpool Area School
1617,Full Primary,Harakeke Pufferfish Primary School
1618,Composite,Sunny Octopus Area School
1619,Full Primary,Hidden Heron Primary School
1625,Full Primary,Seastar Jellyfish Primary School
1627,Full Primary,Coastal Crab Primary School
1630,Specialist School,Rangitahi Kahawai Specialist School
1631,Specialist School,Lagoon Heron Specialist School
1633,Full Primary,Rockpool Paua Primary School
1634,Composite,Lagoon Swordfish Area School
1636,Contributing,Foam Piwakawaka Primary School
1641,Composite,Harbour Wrasse Area School
1643,Contributing,Korora Jellyfish Primary School
1645,Full Primary,Misty Shrimp Primary School
1646,Intermediate,Manuka Korora Intermediate School
1647,Contributing,Pounamu Eel Primary School
1648,Full Primary,Penguin Heron Primary School
1650,Full Primary,Mangrove Flounder Primary School
1651,Composite,Tidal Marlin Area School
1655,Composite,Rangitahi Gannet Area School
1657,Contributing,Seastar Trevally Primary School
1658,Contributing,Pacific Rockpool Primary School
1659,Full Primary,Island Moana Primary School
1660,Contributing,Wave Sealion Primary School
1661,Contributing,Tern Paua Primary School
1662,Full Primary,Northern Heron Primary School
1663,Contributing,Deepwater Tui Primary School
1666,Composite,Seashell Penguin Area School
1667,Full Primary,Penguin Kahawai Primary School
1668,Full Primary,Dolphin Crab Primary School
1669,Full Primary,Sandy Kina Primary School
1670,Composite,Western Pufferfish Area School
1672,Composite,Moana Jellyfish Area School
1673,Composite,Blue Starfish Area School
1674,Composite,Sandy Hoiho Area School
1675,Full Primary,Hidden Weka Primary School
1676,Full Primary,Dolphin Trevally Primary School
1677,Full Primary,Eastern Skink Primary School
1678,Full Primary,Turtle Flounder Primary School
1679,Full Primary,Harbour Tui Primary School
1680,Contributing,Anchor Mussel Primary School
1681,Contributing,Northern Marlin Primary School
1682,Full Primary,Shore Snapper Primary School
1683,Contributing,Totara Seaweed Primary School
1684,Contributing,Korora Snapper Primary School
1686,Contributing,Seahorse Oystercatcher Primary School
1687,Contributing,Clearwater Pipit Primary School
1688,Full Primary,Wai Koura Primary School
1689,Full Primary,Kauri Seahorse Primary School
1691,Full Primary,Seashell Octopus Primary School
1693,Contributing,Blue Dotterel Primary School
1694,Contributing,Snapper Mussel Primary School
1695,Restricted Composite (Year 7-10),Seahorse Marlin Area School
1696,Full Primary,Coral Cockle Primary School
1697,Contributing,Mangrove Kereru Primary School
1698,Contributing,Driftwood Sealion Primary School
1699,Contributing,Tui Eel Primary School
1700,Contributing,Totara Crab Primary School
1701,Restricted Composite (Year 7-10),Island Wrasse Area School
1702,Contributing,Coral Moana Primary School
1704,Contributing,Deepwater Skink Primary School
1705,Full Primary,Blue Scallop Primary School
1706,Full Primary,Clearwater Piwakawaka Primary School
1707,Full Primary,Totara Shrimp Primary School
1708,Contributing,Bay Piper Primary School
1709,Contributing,Eastern Kahawai Primary School
1710,Contributing,Pacific Prawn Primary School
1711,Full Primary,Rimu Dotterel Primary School
1713,Full Primary,Nikau Tuna Primary School
1715,Intermediate,Bay Sponge Intermediate School
1716,Contributing,Paua Kelp Primary School
1717,Contributing,Sunny Dolphin Primary School
1718,Composite,Coastal Weka Area School
1719,Contributing,Driftwood Seaweed Primary School
1720,Contributing,Clearwater Kingfisher Primary School
1721,Contributing,Tui Koura Primary School
1722,Full Primary,Kelp Barracuda Primary School
1723,Full Primary,Misty Octopus Primary School
1724,Contributing,Rising Heron Primary School
1725,Contributing,Golden Moki Primary School
1726,Specialist School,Nikau Tui Specialist School
1727,Contributing,Eastern Petrel Primary School
1728,Full Primary,Wai Scallop Primary School
1729,Contributing,Kelp Paua Primary School
1730,Contributing,Dolphin Kelp Primary School
1731,Contributing,Silver Rockpool Primary School
1732,Specialist School,Golden Paua Specialist School
1733,Full Primary,Whale Tern Primary School
1735,Full Primary,Pounamu Sealion Primary School
1736,Full Primary,Sunny Pufferfish Primary School
1737,Full Primary,Mangrove Kahawai Primary School
1738,Full Primary,Tui Coral Primary School
1739,Contributing,Seashell Kea Primary School
1740,Full Primary,Ocean Tern Primary School
1741,Contributing,Reef Snapper Primary School
1744,Full Primary,Whale Scallop Primary School
1745,Full Primary,Western Crab Primary School
1746,Full Primary,Hidden Swordfish Primary School
1747,Full Primary,Seahorse Prawn Primary School
1748,Composite,Sandy Penguin Area School
1749,Contributing,Penguin Turtle Primary School
1750,Full Primary,Hidden Koura Primary School
1751,Full Primary,Bright Kahawai Primary School
1752,Full Primary,Whale Kereru Primary School
1753,Contributing,Blue Crab Primary School
1754,Full Primary,Eastern Whale Primary School
1755,Contributing,Bay Shellfish Primary School
1756,Full Primary,Seahorse Swordfish Primary School
1757,Full Primary,Bay Coral Primary School
1758,Full Primary,Kauri Kakapo Primary School
1759,Full Primary,Aqua Whale Primary School
1760,Full Primary,Foam Pufferfish Primary School
1761,Intermediate,Cove Dolphin Intermediate School
1762,Specialist School,Wai Albatross Specialist School
1763,Full Primary,Harakeke Skink Primary School
1764,Contributing,Manuka Hapuku Primary School
1765,Contributing,Harakeke Weka Primary School
1766,Contributing,Snapper Manta Primary School
1770,Contributing,Seabreeze Dolphin Primary School
1771,Full Primary,Coastal Jellyfish Primary School
1772,Specialist School,Rimu Moki Specialist School
1773,Full Primary,Harbour Penguin Primary School
1775,Full Primary,Tidal Kina Primary School
1776,Full Primary,Snapper Sponge Primary School
1777,Full Primary,Lagoon Trevally Primary School
1778,Full Primary,Western Koura Primary School
1779,Full Primary,Blue Shark Primary School
1780,Contributing,Paua Piwakawaka Primary School
1781,Contributing,Saltwater Sealion Primary School
1782,Full Primary,Hidden Tarakihi Primary School
1783,Full Primary,Silver Orca Primary School
1784,Full Primary,Saltwater Weka Primary School
1785,Full Primary,Rockpool Scallop Primary School
1786,Full Primary,Driftwood Octopus Primary School
1787,Full Primary,Eastern Cockle Primary School
1788,Full Primary,Kauri Anemone Primary School
1789,Contributing,Kauri Paua Primary School
1790,Contributing,Pacific Heron Primary School
1791,Contributing,Silver Anemone Primary School
1792,Intermediate,Nikau Weka Intermediate School
1793,Full Primary,Northern Piwakawaka Primary School
1794,Contributing,Pacific Skink Primary School
1796,Full Primary,Coastal Piwakawaka Primary School
1797,Full Primary,Bay Trevally Primary School
1798,Composite,Tern Korora Area School
1800,Full Primary,Rimu Jellyfish Primary School
1806,Full Primary,Coral Sponge Primary School
1808,Full Primary,Clearwater Stingray Primary School
1809,Full Primary,Manuka Eel Primary School
1811,Composite,Coastal Paua Area School
1812,Intermediate,Pohutukawa Kakariki Intermediate School
1813,Contributing,Bright Kereru Primary School
1814,Contributing,Seabreeze Shark Primary School
1815,Full Primary,Shore Wrasse Primary School
1818,Full Primary,Southern Cockle Primary School
1819,Full Primary,Blue Hoiho Primary School
1820,Contributing,Rising Jellyfish Primary School
1821,Contributing,Turtle Dotterel Primary School
1823,Intermediate,Shell Jellyfish Intermediate School
1824,Contributing,Shell Pipit Primary School
1825,Contributing,Manuka Kereru Primary School
1826,Contributing,Aqua Marlin Primary School
1827,Full Primary,Lagoon Turtle Primary School
1829,Full Primary,Rimu Dolphin Primary School
1832,Intermediate,Marina Paua Intermediate School
1833,Intermediate,Sandy Prawn Intermediate School
1834,Contributing,Bay Dolphin Primary School
1835,Contributing,Tui Crab Primary School
1836,Full Primary,Sandy Rockpool Primary School
1837,Intermediate,Pebble Weka Intermediate School
1838,Contributing,Sunny Albatross Primary School
1841,Contributing,Coastal Penguin Primary School
1842,Full Primary,Seahorse Mussel Primary School
1843,Contributing,Estuary Hoiho Primary School
1844,Full Primary,Aqua Heron Primary School
1845,Full Primary,Whale Kahawai Primary School
1846,Full Primary,Golden Rockpool Primary School
1847,Full Primary,Cove Pufferfish Primary School
1849,Full Primary,Sandy Hapuku Primary School
1850,Full Primary,Misty Oystercatcher Primary School
1851,Full Primary,Kauri Petrel Primary School
1852,Contributing,Pohutukawa Paua Primary School
1853,Full Primary,Moana Kakariki Primary School
1854,Full Primary,Dolphin Kereru Primary School
1855,Full Primary,Western Weka Primary School
1856,Full Primary,Eastern Tern Primary School
1857,Contributing,Bright Tarakihi Primary School
1858,Contributing,Hidden Mussel Primary School
1860,Contributing,Pebble Shark Primary School
1861,Full Primary,Pebble Tui Primary School
1862,Full Primary,Bay Seahorse Primary School
1863,Full Primary,Sandy Shark Primary School
1865,Composite,Pacific Stingray Area School
1866,Full Primary,Cove Octopus Primary School
1867,Full Primary,Driftwood Nautilus Primary School
1869,Full Primary,Ocean Bluefish Primary School
1870,Full Primary,Kowhai Whale Primary School
1871,Full Primary,Korora Kingfisher Primary School
1872,Full Primary,Driftwood Mussel Primary School
1873,Full Primary,Hidden Bluefish Primary School
1874,Full Primary,Seabreeze Seahorse Primary School
1875,Contributing,Whale Oystercatcher Primary School
1876,Full Primary,Korora Seahorse Primary School
1877,Full Primary,Deepwater Shark Primary School
1878,Intermediate,Harbour Jellyfish Intermediate School
